ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-08-01,15814.066853856595,13885.882227956241,17049.615544739263,15814.066853856595,15814.066853856595,-368.26961479888797,-368.26961479888797,-368.26961479888797,-368.26961479888797,-368.26961479888797,-368.26961479888797,0.0,0.0,0.0,15445.797239057707
2023-09-01,16047.126086513366,13702.358393669238,17062.76373479763,16047.126086513366,16047.126086513366,-653.1836043777053,-653.1836043777053,-653.1836043777053,-653.1836043777053,-653.1836043777053,-653.1836043777053,0.0,0.0,0.0,15393.94248213566
2023-10-01,16272.667279407015,14270.5388431627,17289.356152863988,16272.667279407015,16272.667279407015,-498.393710059338,-498.393710059338,-498.393710059338,-498.393710059338,-498.393710059338,-498.393710059338,0.0,0.0,0.0,15774.273569347677
2023-11-01,16505.726512063786,14335.565151736406,17487.635590473117,16505.726512063786,16505.726512063786,-521.9545458287706,-521.9545458287706,-521.9545458287706,-521.9545458287706,-521.9545458287706,-521.9545458287706,0.0,0.0,0.0,15983.771966235015
2023-12-01,16731.267704957434,14900.033170349201,18006.07150098353,16731.267704957434,16731.267704957434,-244.9415331933787,-244.9415331933787,-244.9415331933787,-244.9415331933787,-244.9415331933787,-244.9415331933787,0.0,0.0,0.0,16486.326171764056
2024-01-01,16964.3269376142,15705.24607361224,18778.023797926082,16964.3269376142,16964.3269376142,230.19407263070363,230.19407263070363,230.19407263070363,230.19407263070363,230.19407263070363,230.19407263070363,0.0,0.0,0.0,17194.521010244905
2024-02-01,17197.386170270976,15992.652382190096,19194.34658066692,17197.386170270976,17197.386170270976,391.05008463489565,391.05008463489565,391.05008463489565,391.05008463489565,391.05008463489565,391.05008463489565,0.0,0.0,0.0,17588.43625490587
2024-03-01,17415.409323401505,16231.360236150696,19352.198749999487,17415.409323401505,17415.409323401505,373.11110211740106,373.11110211740106,373.11110211740106,373.11110211740106,373.11110211740106,373.11110211740106,0.0,0.0,0.0,17788.520425518906
2024-04-01,17648.468556058273,16951.942888286587,20181.492526523834,17648.468556058273,17648.468556058273,896.4646677104022,896.4646677104022,896.4646677104022,896.4646677104022,896.4646677104022,896.4646677104022,0.0,0.0,0.0,18544.933223768676
2024-05-01,17874.009748951925,17229.41216492997,20420.503934816225,17874.009748951925,17874.009748951925,881.7419971844895,881.7419971844895,881.7419971844895,881.7419971844895,881.7419971844895,881.7419971844895,0.0,0.0,0.0,18755.751746136415
2024-06-01,18107.068981608692,15455.156327969056,18548.02723096092,18107.068981608692,18107.068981608692,-1099.8387103247392,-1099.8387103247392,-1099.8387103247392,-1099.8387103247392,-1099.8387103247392,-1099.8387103247392,0.0,0.0,0.0,17007.230271283952
2024-07-01,18332.61017450234,15844.766739049322,18877.50594415042,18332.61017450234,18332.61017450234,-906.3852287970894,-906.3852287970894,-906.3852287970894,-906.3852287970894,-906.3852287970894,-906.3852287970894,0.0,0.0,0.0,17426.224945705253
2024-08-01,18565.669407159112,16355.956209433854,19521.29751185133,18565.669407159112,18565.669407159112,-628.1631477047247,-628.1631477047247,-628.1631477047247,-628.1631477047247,-628.1631477047247,-628.1631477047247,0.0,0.0,0.0,17937.50625945439
2024-09-01,18798.728639815883,16759.198736081707,19900.652013967592,18798.728639815883,18798.728639815883,-374.1123845208712,-374.1123845208712,-374.1123845208712,-374.1123845208712,-374.1123845208712,-374.1123845208712,0.0,0.0,0.0,18424.61625529501
2024-10-01,19024.26983270953,17375.799182035546,20414.01481083323,19024.26983270953,19024.26983270953,-215.67423160695853,-215.67423160695853,-215.67423160695853,-215.67423160695853,-215.67423160695853,-215.67423160695853,0.0,0.0,0.0,18808.595601102574
2024-11-01,19257.329065366303,17571.581270703555,20605.988904479436,19257.329065366303,19257.329065366303,-219.7776825981559,-219.7776825981559,-219.7776825981559,-219.7776825981559,-219.7776825981559,-219.7776825981559,0.0,0.0,0.0,19037.551382768146
2024-12-01,19482.87025825995,17841.78177634471,20982.89893386694,19482.87025825995,19482.87025825995,-23.606544386220374,-23.606544386220374,-23.606544386220374,-23.606544386220374,-23.606544386220374,-23.606544386220374,0.0,0.0,0.0,19459.26371387373
